Column1,match_id,home_team,away_team,home_team_score,away_team_score,home_xG_first_half,away_xG_first_half,home_xG_second_half,away_xG_second_half,home_xG_Open_Play,away_xG_Open_Play,home_xG_Set_Play,away_xG_Set_Play,home_xGOT,away_xGOT
1,3727946,ATK Mohun Bagan FC,Kerala Blasters FC,4,2,1.09,0.32,0.52,0.8,0.68,0.86,0.14,26,2.29,1.54
2,3727947,Bengaluru FC,Northeast United FC,4,2,0.81,1.01,0.18,0.26,0.92,0.26,0.06,0,1.58,0.77
3,3727948,SC East Bengal,Jamshedpur,1,1,0.28,1.06,0.24,0.61,0.32,0.55,0.2,13,0.17,1.21
4,3727949,Mumbai City FC,FC Goa,3,0,1.32,0.53,0.46,0.27,0.61,0.78,0.38,3,1.94,0.13
5,3727950,Hyderabad FC,Chennaiyin FC,0,1,0.34,0.06,0.3,0.98,0.34,0.2,0.31,5,0.52,1.07
6,3727951,Odisha FC,Bengaluru FC,3,1,0.32,0.36,0.52,1.32,0.76,0.63,0.08,26,1.78,1.89
7,3727952,Northeast United FC,Kerala Blasters FC,0,0,0.13,0.76,0.14,1.07,0.17,0.75,0.1,9,0,0.82
8,3727953,FC Goa,Jamshedpur,1,3,0.15,0.85,0.45,1.21,0.47,0.27,0.13,79,0.62,2.35
9,3727954,SC East Bengal,ATK Mohun Bagan FC,0,3,0.21,0.63,0.17,0.24,0.19,0.84,0.18,3,0,1.78
10,3727955,Mumbai City FC,Hyderabad FC,1,3,0.32,0.95,0.26,0.63,0.29,0.72,0.29,7,0.72,2.35
11,3727956,Bengaluru FC,Kerala Blasters FC,1,1,0.12,0.14,0.56,0.18,0.28,0.2,0.39,11,0.73,0.04
12,3727957,Northeast United FC,Chennaiyin FC,1,2,0.21,0.62,0.39,0.65,0.5,0.89,0.1,37,0.83,0.89
13,3727958,Odisha FC,SC East Bengal,6,4,1.08,0.17,0.45,1.4,1.02,0.43,0.51,35,2.47,1.6
14,3727959,ATK Mohun Bagan FC,Mumbai City FC,1,5,0.26,2.18,0.17,0.89,0.3,0.94,0.14,13,0.18,4.34
15,3727960,Jamshedpur,Hyderabad FC,1,1,0.67,0.15,0.23,0.17,0.84,0.13,0.05,18,0.42,0.1
16,3727961,Chennaiyin FC,SC East Bengal,0,0,1.71,0.23,0.86,0.94,2.29,0.39,0.28,78,1.2,0.04
17,3727962,Northeast United FC,FC Goa,2,1,0.5,2.09,0.49,0.23,0.95,0.22,0.05,10,1.13,1.81
18,3727963,Bengaluru FC,Mumbai City FC,1,3,0.99,0.83,0.17,0.28,0.3,0.21,0.07,11,1.38,2.12
19,3727964,Kerala Blasters FC,Odisha FC,2,1,0.12,0.64,1.19,0.72,1.26,0.18,0.05,18,1.31,1.16
20,3727965,Jamshedpur,ATK Mohun Bagan FC,2,1,0.29,0.16,0.23,1.26,0.36,0.32,0.17,10,0.98,1.05
21,3727967,SC East Bengal,FC Goa,3,4,0.25,2.18,0.99,1.61,1.05,0.85,0.19,15,1.75,3.78
22,3727968,Hyderabad FC,Bengaluru FC,1,0,0.28,0.08,0.17,0.52,0.34,0.45,0.12,15,0.59,0.19
23,3727969,Mumbai City FC,Jamshedpur,4,2,1.03,0.22,0.28,1.21,1.24,0.33,0.07,10,1.88,1.13
24,3727970,Odisha FC,Northeast United FC,1,0,0.07,0.68,1.03,0.49,0.98,0.98,0.12,19,1.06,0.06
25,3727971,ATK Mohun Bagan FC,Chennaiyin FC,1,1,0.42,0.46,0.56,0.21,0.41,0.49,0.57,18,0.75,0.5
26,3727972,FC Goa,Bengaluru FC,2,1,0.18,0.56,0.31,0.7,0.26,0.03,0.24,23,0.49,0.82
27,3727973,SC East Bengal,Kerala Blasters FC,1,1,0.34,0.21,0.31,0.16,0.41,0.26,0.24,11,0.65,0.12
28,3727974,Hyderabad FC,Northeast United FC,5,1,1.23,1.58,0.51,0.17,0.87,0.34,0.87,41,3,1.69
29,3727975,Odisha FC,Jamshedpur,0,4,0.08,0.55,0.31,0.8,0.23,0.67,0.16,68,0.2,2.25
30,3727976,Mumbai City FC,Chennaiyin FC,1,0,0.37,0.02,0.27,0.69,0.5,0.62,0.13,10,0.76,0.87
31,3727977,Bengaluru FC,ATK Mohun Bagan FC,3,3,1.31,0.71,0.44,1.14,0.25,0.68,0.72,38,2.32,2.02
32,3727978,Northeast United FC,SC East Bengal,2,0,0.14,0.75,1.55,0.1,0.89,0.67,0.8,18,2.12,1.07
33,3727979,Chennaiyin FC,Odisha FC,2,1,0.55,0.19,1.68,0.25,1.39,0.3,0.05,15,1.67,1.32
34,3727980,FC Goa,Hyderabad FC,1,1,0.14,0.49,0.91,0.88,0.98,0.2,0.06,16,1.26,1.65
35,3727981,Mumbai City FC,Kerala Blasters FC,0,3,0.19,0.19,0.8,1.2,0.46,0.53,0.53,7,0.23,2.29
36,3727982,Jamshedpur,Bengaluru FC,0,0,0.27,0.2,0.64,0.27,0.52,0.04,0.39,43,1.28,0.15
37,3727983,Northeast United FC,ATK Mohun Bagan FC,2,3,0.21,1.89,0.96,2.49,0.96,0.38,0.21,0,0.75,3.65
38,3727984,Chennaiyin FC,Kerala Blasters FC,0,3,0.61,1.65,0.56,0.48,0.73,0.76,0.44,37,0,3.22
39,3727985,Hyderabad FC,SC East Bengal,1,1,0.51,0.68,0.36,0.08,0.74,0.68,0.13,8,1.07,0.07
40,3727986,Odisha FC,FC Goa,1,1,0.27,1.65,1.63,0.11,1.85,0.63,0.05,13,2.05,2.07
41,3727987,Kerala Blasters FC,Jamshedpur,1,1,0.48,0.47,0.11,0.61,0.56,0.68,0.02,39,0.99,1.06
42,3727988,Northeast United FC,Mumbai City FC,3,3,0.96,1.33,1.45,1.84,2.07,0.83,0.34,34,3.62,4.02
43,3727989,Hyderabad FC,Odisha FC,6,1,0.47,1.48,1.45,0.07,0.47,0.51,0.66,4,2.66,1.24
44,3727990,ATK Mohun Bagan FC,FC Goa,2,1,0.19,0.23,0.09,0.37,0.21,0.37,0.06,23,0.14,0.34
45,3727991,Chennaiyin FC,Bengaluru FC,2,4,0.8,1.85,0.51,0.96,1.27,0.38,0.04,64,1.39,3.39
46,3727992,Kerala Blasters FC,FC Goa,2,2,1.44,0.33,0.12,0.67,0.98,0.72,0.58,28,1.32,1.24
47,3727993,Jamshedpur,Chennaiyin FC,0,1,0.4,0.97,0.71,0.07,1.06,0.02,0.04,2,0.4,0.59
48,3727994,Odisha FC,Mumbai City FC,4,2,0.04,1.07,2.35,0.17,2.06,0,0.33,25,2.34,1.59
49,3727995,Bengaluru FC,SC East Bengal,1,1,0.14,0.22,0.82,0.04,0.67,0.2,0.29,6,0.15,0.44
50,3727996,ATK Mohun Bagan FC,Hyderabad FC,2,2,0.13,1.5,0.81,0.91,0.88,0,0.06,40,0.22,2.77
51,3727998,Jamshedpur,Northeast United FC,3,2,1.16,0.66,1.62,0.58,2.22,0.19,0.57,5,1.85,1.64
52,3727999,SC East Bengal,Mumbai City FC,0,0,0.26,0.13,0.09,0.37,0.2,0.28,0.14,21,0.08,0.5
53,3728000,ATK Mohun Bagan FC,Odisha FC,0,0,1.6,0.19,0.71,0.31,2.19,0.31,0.13,19,1.59,0.47
54,3728001,FC Goa,Chennaiyin FC,1,0,0.75,0.06,0.38,0.05,0.85,0.08,0.28,2,1.23,0.02
55,3728002,Kerala Blasters FC,Hyderabad FC,1,0,0.73,0.37,0.4,0.77,0.57,0.83,0.57,31,0.68,0.35
56,3791566,Mumbai City FC,Bengaluru FC,0,3,0.64,1.92,12,19,0.24,1.59,0.4,0.33,0.46,0.67
57,3791567,Chennaiyin FC,Northeast United FC,2,1,0.86,3.86,11,28,0.63,2.06,0.24,1.81,0.68,0.89
58,3791568,Bengaluru FC,FC Goa,1,1,0.54,1.1,12,10,0.38,0.98,0.17,0.12,0.37,0.21
59,3791569,SC East Bengal,Hyderabad FC,0,4,1.33,3.08,12,22,0.35,1.48,0.99,1.59,0.37,0.83
60,3791570,Mumbai City FC,Northeast United FC,1,1,2.94,1.06,18,11,1.98,0.03,0.96,1.03,1.81,0.27
61,3791571,Bengaluru FC,Chennaiyin FC,3,0,3.67,1.36,14,16,2.14,0.97,1.53,0.39,2.08,0.2
62,3791572,Odisha FC,Hyderabad FC,2,3,1.65,2.15,7,9,0.62,0.78,1.03,1.37,1.65,0.31
63,3791573,Jamshedpur,FC Goa,1,0,0.25,1.4,5,2,0.05,0.26,0.19,1.14,0.25,0.62
64,3791574,ATK Mohun Bagan FC,SC East Bengal,3,1,3.33,1.16,31,13,0.37,0.46,2.96,0.69,2.13,0.99
65,3791575,Jamshedpur,Mumbai City FC,3,2,2.48,2.42,9,6,1.59,0.21,0.88,2.21,1.64,0.79
66,3791576,Kerala Blasters FC,ATK Mohun Bagan FC,2,2,1.14,1.17,17,14,0.32,0.71,0.82,0.45,0.77,0.89
67,3791577,FC Goa,SC East Bengal,1,2,1.2,0.39,18,4,0.87,0.36,0.33,0.03,0.93,0.39
68,3791578,Jamshedpur,SC East Bengal,1,0,0.79,0.27,14,7,0.28,0.18,0.51,0.09,0.46,0.15
69,3791579,Odisha FC,Kerala Blasters FC,0,2,0.88,0.86,11,17,0.11,0.52,0.77,0.34,0.54,0.61
70,3791580,Chennaiyin FC,Hyderabad FC,1,1,0.84,1.13,11,25,0.43,0.77,0.41,0.37,0.34,0.94
71,3791581,FC Goa,Northeast United FC,1,1,2.11,0.59,25,11,0.54,0.41,1.56,0.18,1.8,0.37
72,3791582,ATK Mohun Bagan FC,Bengaluru FC,2,0,0.69,0.63,10,15,0.13,0.29,0.56,0.34,0.54,0.54
73,3791583,Kerala Blasters FC,Mumbai City FC,3,1,1.73,1.59,15,12,1.07,0.12,0.66,1.47,0.6,0.62
74,3791584,Hyderabad FC,Jamshedpur,0,3,0.47,1.07,9,6,0.15,0.55,0.31,0.52,0.47,0.7
75,3791585,Northeast United FC,Odisha FC,0,2,0.6,2.32,13,16,0.35,1.14,0.25,1.18,0.55,0.94
76,3791586,Kerala Blasters FC,Bengaluru FC,0,1,0.92,1.68,13,18,0.31,0.84,0.61,0.84,0.69,0.92
77,3791587,Northeast United FC,Hyderabad FC,0,5,0.43,4.39,8,1,0.17,1.67,0.26,2.72,0.36,0.65
78,3791588,ATK Mohun Bagan FC,Jamshedpur,0,1,0.74,0.33,17,7,0.33,0.13,0.41,0.2,0.54,0.28
79,3791589,Bengaluru FC,Odisha FC,2,1,1.65,1.06,11,14,0.61,0.66,1.05,0.4,0.48,0.85
80,3791590,SC East Bengal,Northeast United FC,1,1,1.44,0.79,18,9,0.31,0.35,1.13,0.44,0.55,0.69
81,3791591,Hyderabad FC,Kerala Blasters FC,2,1,1.24,1.74,8,9,0.57,0.31,0.67,1.43,1.24,0.13
82,3791592,FC Goa,Mumbai City FC,0,2,1.48,0.97,15,14,1.13,0.73,0.34,0.24,0.6,0.3
83,3791593,Chennaiyin FC,ATK Mohun Bagan FC,0,1,0.96,0.3,16,7,0.28,0.24,0.67,0.07,0.57,0.24
84,3791594,Jamshedpur,Odisha FC,5,1,1.83,0.23,20,4,0.74,0.09,1.09,0.13,1.07,0.18
85,3791595,SC East Bengal,Bengaluru FC,0,1,0.94,0.4,17,8,0.45,0.13,0.48,0.28,0.67,0.32
86,3791596,Hyderabad FC,Mumbai City FC,2,1,1.47,0.68,13,16,1.29,0.31,0.18,0.38,0.69,0.51
87,3791597,FC Goa,ATK Mohun Bagan FC,0,2,0.66,2.28,16,15,0.14,0.26,0.52,2.02,0.57,0.08
88,3791598,Odisha FC,Chennaiyin FC,2,2,1.62,1.68,20,14,0.46,0.67,1.16,1.01,1.55,0.98
89,3791599,Northeast United FC,Jamshedpur,2,3,1.58,1.31,11,14,0.08,0.2,1.5,1.11,1.42,0.12
90,3791600,Kerala Blasters FC,Chennaiyin FC,3,0,1.65,1.11,16,7,0.84,0.86,0.81,0.26,1.02,0.76
91,3791601,Hyderabad FC,FC Goa,3,2,0.76,1.18,12,14,0.47,0.97,0.29,0.21,0.62,0.09
92,3791602,Odisha FC,ATK Mohun Bagan FC,1,1,1.94,2.21,13,17,1.51,0.95,0.43,1.25,1.02,0.35
93,3791603,FC Goa,Odisha FC,1,1,1.56,2.22,24,11,0.52,0.58,1.04,1.65,1.26,0.22
94,3791604,SC East Bengal,Chennaiyin FC,2,2,1.8,1.02,26,8,0.72,0.86,1.08,0.16,0.88,0.98
95,3791605,Mumbai City FC,ATK Mohun Bagan FC,1,1,1.04,1.55,18,20,0.25,1.06,0.79,0.49,0.86,0.93
96,3791606,Kerala Blasters FC,Northeast United FC,2,1,1.49,0.46,15,10,0.22,0.25,1.27,0.21,0.83,0.2
97,3791607,Bengaluru FC,Jamshedpur,3,1,1.83,1.7,11,13,0.84,0.85,1,0.85,0.16,0.58
98,3791608,Chennaiyin FC,Mumbai City FC,0,1,0.45,1.53,8,2,0.16,0.65,0.29,0.88,0.33,0.94
99,3791609,SC East Bengal,Odisha FC,1,2,0.56,1.53,15,8,0.15,0.59,0.41,0.94,0.42,0.46
100,3791610,Hyderabad FC,ATK Mohun Bagan FC,1,2,1.52,2.38,14,16,0.18,0.52,1.34,1.86,1.24,0.33
101,3791611,Northeast United FC,Bengaluru FC,2,1,2.18,1.15,14,13,0.7,0.3,1.48,0.85,2.02,0.02
102,3791612,Chennaiyin FC,FC Goa,0,5,0.45,2.46,7,8,0,2,0.45,0.46,0.19,0.32
103,3791613,Jamshedpur,Kerala Blasters FC,3,0,1.94,0.34,11,9,0.97,0.08,0.97,0.26,0.2,0.22
104,3791614,Mumbai City FC,SC East Bengal,1,0,1.28,0.93,11,13,0.13,0.29,1.15,0.65,1.15,0.28
105,3791615,Kerala Blasters FC,SC East Bengal,1,0,0.54,0.55,14,9,0.36,0.04,0.18,0.51,0.35,0.41
106,3791616,Bengaluru FC,Hyderabad FC,1,2,1.02,0.59,8,1,0.04,0.43,0.98,0.15,0.86,0.38
107,3791617,Mumbai City FC,Odisha FC,4,1,0.73,0.55,13,14,0.19,0.26,0.55,0.29,0.52,0.32
108,3791618,Chennaiyin FC,Jamshedpur,1,4,1.19,3.65,15,28,0.15,3.07,1.04,0.58,0.87,0.37
109,3791619,ATK Mohun Bagan FC,Northeast United FC,3,1,2.52,1.28,16,24,1.72,0.55,0.8,0.73,2.4,0.89
110,3791620,FC Goa,Kerala Blasters FC,4,4,2.69,2.99,15,14,0.17,1.67,2.52,1.32,0.89,0.03
